Date,Open,High,Low,Close,Volume,Adj Close
2023-04-12,6.715,6.824,6.471,6.577,103818.24,6.577
2023-04-13,6.584,6.842,6.579,6.759,76454.44,6.759
2023-04-14,6.759,7.01,6.6,6.792,116791.75,6.792
2023-04-15,6.792,6.85,6.695,6.72,39884.45,6.72
2023-04-16,6.716,6.837,6.654,6.731,37480.54,6.731
2023-04-17,6.733,6.734,6.32,6.403,100212.05,6.403
2023-04-18,6.399,6.785,6.25,6.748,107964.22,6.748
2023-04-19,6.748,6.76,6.065,6.158,137056.04,6.158
2023-04-20,6.148,6.246,5.85,5.922,129012.07,5.922
2023-04-21,5.923,5.985,5.511,5.573,165824.45,5.573
2023-04-22,5.573,5.78,5.51,5.766,89687.09,5.766
2023-04-23,5.767,5.768,5.584,5.664,64668.99,5.664
2023-04-24,5.658,5.814,5.45,5.65,103587.72,5.65
2023-04-25,5.65,5.96,5.53,5.92,103259.43,5.92
2023-04-26,5.92,6.548,5.53,5.958,255847.82,5.958
2023-04-27,5.958,6.488,5.944,6.338,142940.41,6.338
2023-04-28,6.342,6.381,6.133,6.274,72277.61,6.274
2023-04-29,6.265,6.329,6.155,6.244,36596.53,6.244
2023-04-30,6.244,6.529,6.179,6.246,77089.93,6.246
2023-05-01,6.259,6.3,5.671,5.821,158428.21,5.821
2023-05-02,5.821,6.109,5.761,6.026,99807.47,6.026
2023-05-03,6.024,6.238,5.845,6.144,107270.1,6.144
2023-05-04,6.148,6.3,6.037,6.083,73024.24,6.083
2023-05-05,6.094,6.4,6.061,6.332,101238.23,6.332
2023-05-06,6.331,6.445,5.908,6.107,103416.7,6.107
2023-05-07,6.102,6.195,5.929,5.941,68250.28,5.941
2023-05-08,5.941,6.016,5.516,5.657,175852.71,5.657
2023-05-09,5.657,5.707,5.526,5.637,64478.11,5.637
2023-05-10,5.635,5.881,5.306,5.627,140818.65,5.627
2023-05-11,5.625,5.628,5.311,5.415,94727.46,5.415
2023-05-12,5.396,5.439,4.953,5.324,162364.0,5.324
2023-05-13,5.326,5.399,5.285,5.309,47409.15,5.309
2023-05-14,5.305,5.452,5.256,5.348,53755.71,5.348
2023-05-15,5.348,5.62,5.3,5.45,90750.69,5.45
2023-05-16,5.45,5.495,5.337,5.408,59626.09,5.408
2023-05-17,5.414,5.555,5.23,5.527,87013.38,5.527
2023-05-18,5.532,5.556,5.15,5.319,99605.51,5.319
2023-05-19,5.317,5.439,5.256,5.336,56692.43,5.336
2023-05-20,5.331,5.425,5.315,5.414,26485.92,5.414
2023-05-21,5.411,5.481,5.271,5.295,40342.18,5.295
2023-05-22,5.292,5.427,5.212,5.317,59848.91,5.317
2023-05-23,5.321,5.552,5.303,5.444,69362.09,5.444
2023-05-24,5.444,5.447,5.07,5.15,108681.19,5.15
2023-05-25,5.149,5.233,4.95,5.178,76226.39,5.178
2023-05-26,5.184,5.333,5.125,5.257,58087.01,5.257
2023-05-27,5.258,5.32,5.22,5.312,29099.04,5.312
2023-05-28,5.312,5.8,5.29,5.736,95621.79,5.736
2023-05-29,5.735,5.863,5.56,5.628,75169.11,5.628
2023-05-30,5.629,5.733,5.563,5.612,59278.69,5.612
2023-05-31,5.606,5.655,5.31,5.427,87803.85,5.427
2023-06-01,5.436,5.489,5.22,5.271,70171.97,5.271
2023-06-02,5.276,5.447,5.18,5.42,69131.03,5.42
2023-06-03,5.424,5.452,5.33,5.378,35942.8,5.378
2023-06-04,5.377,5.5,5.339,5.384,34946.7,5.384
2023-06-05,5.385,5.385,4.77,4.89,174846.69,4.89
2023-06-06,4.891,5.444,4.761,5.395,172575.98,5.395
2023-06-07,5.398,5.451,5.029,5.098,139763.61,5.098
2023-06-08,5.1,5.255,5.055,5.143,68089.55,5.143
2023-06-09,5.138,5.238,5.075,5.136,53880.72,5.136
2023-06-10,5.141,5.15,4.75,4.91,142612.83,4.91
2023-06-11,4.909,5.025,4.843,4.933,50823.34,4.933
2023-06-12,4.931,4.995,4.831,4.924,63026.09,4.924
2023-06-13,4.927,5.107,4.87,4.939,73445.37,4.939
2023-06-14,4.942,4.984,4.55,4.66,93817.96,4.66
2023-06-15,4.66,4.865,4.535,4.81,117783.01,4.81
2023-06-16,4.809,5.132,4.644,5.08,96930.23,5.08
2023-06-17,5.079,5.266,5.013,5.128,54352.86,5.128
2023-06-18,5.131,5.199,5.024,5.067,43021.7,5.067
2023-06-19,5.067,5.325,5.047,5.258,66724.38,5.258
2023-06-20,5.249,5.816,5.189,5.787,134126.66,5.787
2023-06-21,5.783,6.729,5.757,6.416,219481.69,6.416
2023-06-22,6.409,6.634,6.21,6.38,112559.78,6.38
2023-06-23,6.379,7.0,6.345,6.7,120477.28,6.7
2023-06-24,6.702,6.744,6.495,6.642,52928.05,6.642
2023-06-25,6.636,6.85,6.526,6.612,48516.85,6.612
2023-06-26,6.613,6.704,6.36,6.515,62209.63,6.515
2023-06-27,6.512,6.81,6.497,6.69,50070.34,6.69
2023-06-28,6.696,6.696,6.357,6.44,59806.03,6.44
2023-06-29,6.432,6.732,6.428,6.581,48393.04,6.581
2023-06-30,6.569,6.919,6.21,6.585,114095.74,6.585
2023-07-01,6.586,6.674,6.526,6.621,19782.4,6.621
2023-07-02,6.616,6.699,6.454,6.637,27386.4,6.637
2023-07-03,6.639,6.947,6.601,6.846,47686.44,6.846
2023-07-04,6.85,6.917,6.635,6.708,42818.09,6.708
2023-07-05,6.708,6.773,6.454,6.592,47043.83,6.592
2023-07-06,6.59,6.999,6.315,6.337,115513.77,6.337
2023-07-07,6.332,6.563,6.25,6.493,53972.83,6.493
2023-07-08,6.495,6.519,6.391,6.469,18809.85,6.469
2023-07-09,6.471,6.54,6.394,6.43,19735.35,6.43
2023-07-10,6.434,6.789,6.345,6.53,60756.1,6.53
2023-07-11,6.528,6.688,6.485,6.622,36166.94,6.622
2023-07-12,6.622,6.755,6.458,6.529,57043.4,6.529
2023-07-13,6.529,7.11,6.453,6.96,100972.15,6.96
2023-07-14,6.954,7.015,6.313,6.48,126987.03,6.48
2023-07-15,6.479,6.51,6.45,6.457,30873.41,6.457
2023-07-16,6.46,6.539,6.378,6.434,28856.09,6.434
2023-07-17,6.436,6.476,6.211,6.382,66784.37,6.382
2023-07-18,6.381,6.432,6.124,6.286,66605.31,6.286
2023-07-19,6.286,6.4,6.25,6.305,51637.81,6.305
2023-07-20,6.298,6.494,6.15,6.261,65321.35,6.261
2023-07-21,6.264,6.349,6.22,6.284,27953.22,6.284
2023-07-22,6.282,6.32,6.189,6.245,18460.49,6.245
2023-07-23,6.249,6.466,6.216,6.357,28954.66,6.357
2023-07-24,6.352,6.353,5.854,5.999,74165.85,5.999
2023-07-25,5.992,6.059,5.944,6.0,30394.1,6.0
2023-07-26,6.003,6.173,5.954,6.046,37042.94,6.046
2023-07-27,6.043,6.13,5.95,6.004,29643.36,6.004
2023-07-28,6.004,6.114,5.952,6.03,22755.17,6.03
2023-07-29,6.027,6.065,6.001,6.034,9248.43,6.034
2023-07-30,6.031,6.077,5.918,6.01,27421.48,6.01
2023-07-31,6.023,6.1,5.955,6.002,32704.99,6.002
2023-08-01,5.996,6.178,5.732,6.178,63176.66,6.178
